,Unnamed: 0,cpd_str_alert_id,molecule_chembl_id,alert.alert_id,alert.alert_name,alert.alert_set.priority,alert.alert_set.set_name,alert.smarts
8800,800,49313422,CHEMBL1995467,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16074,74,49320696,CHEMBL1996320,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
717,717,49305339,CHEMBL38359,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
6079,79,49310701,CHEMBL1241826,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
13668,668,49318290,CHEMBL4207141,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
9565,565,49314187,CHEMBL2205881,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3085,85,49307707,CHEMBL168665,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18737,737,49323359,CHEMBL504195,7,R7 Peroxides,8,Glaxo,OO
16494,494,49321116,CHEMBL3144336,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
18548,548,49323170,CHEMBL258873,7,R7 Peroxides,8,Glaxo,OO
3680,680,49308302,CHEMBL376148,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4150,150,49308772,CHEMBL258678,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
14691,691,49319313,CHEMBL90835,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
5436,436,49310058,CHEMBL1088006,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3012,12,49307634,CHEMBL164834,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3776,776,49308398,CHEMBL230210,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16445,445,49321067,CHEMBL3143697,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
574,574,49305196,CHEMBL35908,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3700,700,49308322,CHEMBL227789,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
7366,366,49311988,CHEMBL1683646,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16852,852,49321474,CHEMBL405977,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
5330,330,49309952,CHEMBL599309,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
2326,326,49306948,CHEMBL337156,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17145,145,49321767,CHEMBL3183752,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
